catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,identifier_warning,current_cusa,pricecharting_model_cusa
ps4-agatha-christie%27s-hercule-poirot-the-first-cases,Agatha Christie's Hercule Poirot: The First Cases,PAL España,standard,agatha christie s hercule poirot the first cases,agatha christie s hercule poirot the first cases,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Microids,microids,Microids,EXACT_NAME_OR_ALIAS,Microids,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/agatha-christie%27s-hercule-poirot-the-first-cases,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_STRONG_TITLE_REVIEW,CUSA23753_00,
ps4-akiba%27s-trip-hellbound-&amp;-debriefed,Akiba's Trip: Hellbound & Debriefed,PAL España,standard,akiba s trip hellbound and debriefed,akiba s trip hellbound and debriefed,GAME_OR_UNKNOWN,DEVELOPER,developer,Acquire,acquire,Acquire | ACQUIRE Corp.,EXACT_NAME_OR_ALIAS,Acquire,RETAIN,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1236780 | https://www.wikidata.org/wiki/Q124570320 | https://gamesdb.launchbox-app.com/games/details/421895,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,MODEL_CONFLICT,CUSA16501_00,CUSA23677_00
ps4-andro-dunos-ii,Andro Dunos II,PAL España,standard,andro dunos ii,andro dunos ii,GAME_OR_UNKNOWN,DEVELOPER,developer,Picorinne Soft,picorinne-soft,Picorinne Soft,EXACT_NAME_OR_ALIAS,Picorinne Soft,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,4,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/andro-dunos-ii | https://store.steampowered.com/app/1856900 | https://www.wikidata.org/wiki/Q111726411,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,CUSA_TITLE_CONFLICT,CUSA32058_00,CUSA32058_00
ps4-andro-dunos-ii,Andro Dunos II,PAL España,standard,andro dunos ii,andro dunos ii,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,STORYBIRD Studio,storybird-studio,Storybird Studio,EXACT_NAME_OR_ALIAS,Storybird Studio,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/andro-dunos-ii,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_TITLE_CONFLICT,CUSA32058_00,CUSA32058_00
ps4-atelier-lulua-the-scion-of-arland,Atelier Lulua: The Scion of Arland,PAL España,standard,atelier lulua the scion of arland,atelier lulua the scion of arland,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Koei Tecmo,koei-tecmo,Koei Tecmo,EXACT_NAME_OR_ALIAS,Koei Tecmo,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST_PAL,B_LEGACY_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/atelier-lulua-the-scion-of-arland | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,MODEL_CONFLICT,CUSA13423_00,CUSA14540_00
ps4-atv-drift-&amp;-tricks,ATV Drift & Tricks,PAL España,standard,atv drift and tricks,atv drift and tricks,GAME_OR_UNKNOWN,DEVELOPER,developer,Artefacts Studio,artefacts-studio,Artefacts Studio,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/622020 | https://www.wikidata.org/wiki/Q124063242,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,CUSA_TITLE_CONFLICT,CUSA09535_00,
ps4-back-to-the-future-the-game-30th-anniversary,Back To The Future: The Game 30th Anniversary,PAL España,standard,back to the future the game 30th anniversary,back to the future the game 30th,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,TellTale Games,telltale-games,Telltale Games,EXACT_NAME_OR_ALIAS,Telltale Games,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/back-to-the-future-the-game-30th-anniversary,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_TITLE_CONFLICT,CUSA02972_00,CUSA02972_00
ps4-batman-return-to-arkham,Batman: Return To Arkham,PAL España,standard,batman return to arkham,batman return to arkham,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Warner Bros. Interactive Entertainment,warner-bros-interactive-entertainment,Warner Brothers,EXACT_NAME_OR_ALIAS,Warner Brothers,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/batman-return-to-arkham,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_TITLE_CONFLICT,CUSA02000_00,
ps4-big-buck-hunter-arcade,Big Buck Hunter Arcade,PAL España,standard,big buck hunter arcade,big buck hunter arcade,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Maximum Games,maximum-games,Maximum Games,EXACT_NAME_OR_ALIAS,Maximum Games,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/big-buck-hunter-arcade,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_TITLE_CONFLICT,CUSA05525_00,CUSA05525_00
ps4-black-hole-complete-edition,Black Hole [Complete Edition],PAL España,standard,black hole,black hole,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Soedesco,soedesco,SOEDESCO,EXACT_NAME_OR_ALIAS,SOEDESCO,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/black-hole-complete-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_STRONG_TITLE_REVIEW,CUSA06921_00,CUSA06921_00
