provisional_work_key,representative_title,catalog_ids,missing_or_conflicting_roles,current_values,candidate_companies,best_confidence,conflict_reason,catalog_entry_count,company_game_impact,source_urls,recommended_next_research,priority
428 shibuya scramble,428 Shibuya Scramble,ps4-428-shibuya-scramble,developer | physical_publisher,developer=Spike Chunsoft; physical_publisher=Spike Chunsoft,Abstraction Games [abstraction-games] | Chunsoft [chunsoft] | Spike Chunsoft Co Ltd. [unresolved] | Spike Chunsoft [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT,1,abstraction-games:2 | chunsoft:17,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/207824 | https://store.playstation.com/es-es/product/EP3617-CUSA11946_00-428SHIBUYASCRAEU | https://store.steampowered.com/app/648580 | https://www.pricecharting.com/game/pal-playstation-4/428-shibuya-scramble | https://www.wikidata.org/wiki/Q1045444,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
a way out,A Way Out,ps4-a-way-out,developer | physical_publisher,developer=Hazelight; physical_publisher=EA Originals,EA Originals [ea-originals] | Electronic Arts [electronic-arts] | Hazelight Studios [hazelight-studios] | Hazelight [hazelight],HIGH,HIGH_REPLACEMENT_CONFLICT,1,ea-originals:1 | electronic-arts:675 | hazelight-studios:3 | hazelight:1,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/143587 | https://store.playstation.com/es-es/product/EP0006-CUSA08004_00-AWAYOUTEU0000000 | https://store.steampowered.com/app/1222700 | https://www.pricecharting.com/game/pal-playstation-4/a-way-out,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
ary and the secret of seasons,Ary and the Secret of Seasons,ps4-ary-and-the-secret-of-seasons,developer | physical_publisher,"developer=eXiin, Fishing Cactus SA; physical_publisher=Modus Games",Exiin [exiin] | Fishing Cactus SA [unresolved] | Fishing Cactus [unresolved] | Modus Games [modus-games],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPOSITE_CREDIT,1,exiin:1 | modus-games:9,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/219163 | https://store.playstation.com/es-es/product/EP4908-CUSA13262_00-ARYSECRETSEASONS | https://store.steampowered.com/app/935570 | https://www.pricecharting.com/game/pal-playstation-4/ary-and-the-secret-of-seasons,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
assassin s creed iii,Assassin's Creed III Remastered,ps4-assassin%27s-creed-iii-remastered,developer | physical_publisher,"developer=Ubisoft Montreal, Ubisoft Bucharest; physical_publisher=Ubisoft",Ubisoft Bucharest [ubisoft-bucharest] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft [ubisoft] | Ubisoft [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED | COMPOSITE_CREDIT,2,ubisoft-bucharest:3 | ubisoft-montreal:92 | ubisoft:518,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/176029 | https://store.playstation.com/es-es/product/EP0001-CUSA11560_00-AC3GAMEPS4000001 | https://store.steampowered.com/app/911400 | https://www.pricecharting.com/game/pal-playstation-4/assassin%27s-creed-iii-remastered,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
assassin s creed odyssey,Assassin's Creed: Odyssey [Athenian Edition],ps4-assassin%27s-creed-odyssey-athenian-edition,developer | physical_publisher,developer=Ubisoft; physical_publisher=Ubisoft,Ubisoft Bucharest [ubisoft-bucharest] | Ubisoft Kiev [unresolved] | Ubisoft Montpellier [ubisoft-montpellier] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Quebec [ubisoft-quebec] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Singapore [unresolved] | Ubisoft [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED,7,ubisoft-bucharest:3 | ubisoft-montpellier:22 | ubisoft-montreal:92 | ubisoft-quebec:9 | ubisoft-shanghai:15,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/160210 | https://store.playstation.com/es-es/product/EP0001-CUSA09303_00-GAME000000000000 | https://store.steampowered.com/app/812140 | https://www.pricecharting.com/game/pal-playstation-4/assassin%27s-creed-odyssey-athenian-edition,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
assassin s creed syndicate,Assassin's Creed Syndicate,ps4-assassin%27s-creed-syndicate,developer | physical_publisher,developer=Ubisoft; physical_publisher=(empty),Bucharest [unresolved] | Kiev [unresolved] | Montpellier [unresolved] | Montreal [unresolved] | Shanghai [unresolved] | Singapore [unresolved] | Sofia [unresolved] | Toronto studios [unresolved] | Ubisoft Quebec [ubisoft-quebec] | Ubisoft [unresolved] | in collaboration with Ubisoft Annecy [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | MISSING_PHYSICAL_PUBLISHER,9,ubisoft-quebec:9,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/32131 | https://store.playstation.com/es-es/product/EP0001-CUSA02376_00-ACVICTORYGAMEPS4 | https://store.steampowered.com/app/368500 | https://www.pricecharting.com/game/pal-playstation-4/assassin%27s-creed-syndicate | https://www.wikidata.org/wiki/Q18602166,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
astria ascending,Astria Ascending,ps4-astria-ascending,developer | physical_publisher,"developer=Artisan Studios; physical_publisher=Dear Villagers, Maple Whispering",Artisan Studios [artisan-studios] | Dear Villagers [dear-villagers] | Maple Whispering [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPOSITE_CREDIT,1,artisan-studios:6 | dear-villagers:1,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/216549 | https://store.playstation.com/es-es/product/EP1302-CUSA27170_00-0000000000000000 | https://store.steampowered.com/app/1121780 | https://www.pricecharting.com/game/pal-playstation-4/astria-ascending | https://www.wikidata.org/wiki/Q107630725,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
astroneer,Astroneer,ps4-astroneer,developer | physical_publisher,developer=System Era; physical_publisher=gearbox publishing,Gearbox Publishing [gearbox-publishing] | System Era Softworks [system-era-softworks] | System Era [system-era],HIGH,HIGH_REPLACEMENT_CONFLICT,1,gearbox-publishing:14 | system-era-softworks:2 | system-era:1,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/207402 | https://store.playstation.com/es-es/product/EP2330-CUSA17393_00-ASTRONEER0000000 | https://store.steampowered.com/app/361420 | https://www.pricecharting.com/game/pal-playstation-4/astroneer | https://www.wikidata.org/wiki/Q28044889,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
battlefield hardline,Battlefield Hardline,ps4-battlefield-hardline,developer | physical_publisher,developer=Visceral Games; physical_publisher=Electronic Arts,Dice [dice] | Ea [ea] | Electronic Arts [electronic-arts] | Visceral Games [visceral-games],HIGH,HIGH_REPLACEMENT_CONFLICT,2,dice:33 | ea:28 | electronic-arts:675 | visceral-games:10,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/26192 | https://store.playstation.com/es-es/product/EP0006-CUSA00633_00-OMAHAOMAHA000000 | https://store.steampowered.com/app/1238880 | https://www.pricecharting.com/game/pal-playstation-4/battlefield-hardline | https://www.wikidata.org/wiki/Q16968699,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
big pharma,Big Pharma [Special Edition],ps4-big-pharma-special-edition,developer | physical_publisher,"developer=Twice Circled, Klabater; physical_publisher=Meridiem Games, Positech Games",Klabater [unresolved] | Meridiem Games [meridiem-games] | Positech Games [unresolved] | Twice Circled [twice-circled],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED | COMPOSITE_CREDIT,1,meridiem-games:18 | twice-circled:1,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4886-CUSA17324_00-BIGPHARMA0000000 | https://store.steampowered.com/app/344850 | https://www.pricecharting.com/game/pal-playstation-4/big-pharma-special-edition | https://www.wikidata.org/wiki/Q20313306,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
