catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,identifier_warning,current_cusa,pricecharting_model_cusa
ps4-11-11-memories-retold,11-11: Memories Retold,PAL España,standard,11 11 memories retold,11 11 memories retold,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Bandai Namco Entertainment,bandai-namco-entertainment,Bandai Namco | Bandai Namco Entertainment,EXACT_NAME_OR_ALIAS,Namco Bandai Games,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/11-11-memories-retold | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA10148_00,
ps4-13-sentinels-aegis-rim,13 Sentinels: Aegis Rim,PAL España,standard,13 sentinels aegis rim,13 sentinels aegis rim,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Atlus Co Ltd.,atlus,Atlus,EXACT_NAME_OR_ALIAS,Atlus,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/13-sentinels-aegis-rim | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA10602_00,
ps4-1971-project-helios-collector%27s-edition,1971 Project Helios [Collector's Edition],PAL España,collector,1971 project helios,1971 project helios,EDITION_VARIANT,DEVELOPER,developer,Recotechnology S.L.,recotechnology-s-l,Recotechnology S.L | Recotechnology S.L.,EXACT_NAME_OR_ALIAS,Recotechnology S.L.,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/1971-project-helios-collector%27s-edition | https://store.steampowered.com/app/1186630 | https://www.wikidata.org/wiki/Q106563965,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA14861_00,CUSA14861_00
ps4-1971-project-helios-collector%27s-edition,1971 Project Helios [Collector's Edition],PAL España,collector,1971 project helios,1971 project helios,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Meridiem Games,meridiem-games,Meridiem Games,EXACT_NAME_OR_ALIAS,Meridiem Games,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/1971-project-helios-collector%27s-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA14861_00,CUSA14861_00
ps4-2dark-limited-edition,2Dark [Limited Edition],PAL España,standard,2dark,2dark,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,BigBen,bigben,bigben,EXACT_NAME_OR_ALIAS,bigben,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/2dark-limited-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,,
ps4-41-hours,41 Hours,PAL España,standard,41 hours,41 hours,GAME_OR_UNKNOWN,DEVELOPER,developer,Texelworks,texelworks,Texelworks,EXACT_NAME_OR_ALIAS,Texelworks,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA,B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/41-hours | https://store.steampowered.com/app/1358020 | https://www.wikidata.org/wiki/Q106918741,"El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA29390_00,
ps4-7-days-to-die,7 Days To Die,PAL España,standard,7 days to die,7 days to die,GAME_OR_UNKNOWN,DEVELOPER,developer,The Fun Pimps,the-fun-pimps,The Fun Pimps,EXACT_NAME_OR_ALIAS,The Fun Pimps,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,4,REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/7-days-to-die | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/251570 | https://www.wikidata.org/wiki/Q14753828,"El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA03446_00,
ps4-7th-sector,7th Sector,PAL España,standard,7th sector,7th sector,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Strictly Limited,strictly-limited,Strictly Limited,EXACT_NAME_OR_ALIAS,Strictly Limited,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/7th-sector,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA15841_00,CUSA15841_00
ps4-8-bit-armies,8-Bit Armies,PAL España,standard,8 bit armies,8 bit armies,GAME_OR_UNKNOWN,DEVELOPER,developer,Petroglyph,petroglyph,Petroglyph,EXACT_NAME_OR_ALIAS,Petroglyph,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM,https://www.pricecharting.com/game/pal-playstation-4/8-bit-armies | https://store.steampowered.com/app/427250,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA07626_00,CUSA07626_00
ps4-8-bit-armies,8-Bit Armies,PAL España,standard,8 bit armies,8 bit armies,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Soedesco,soedesco,Soedesco,EXACT_NAME_OR_ALIAS,Soedesco,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/8-bit-armies | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA07626_00,CUSA07626_00
