catalog_id,catalog_title,official_title,catalog_region,catalog_edition,content_type,role,current_value,recommended_company,confidence,evidence_scope,recommended_action,evidence_summary,source_1,source_2,classification,previous_value,company_slugs,company_display_names,resolved_evidence_urls,evidence_catalog_ids,stale_reason,reviewed_at,review_batch
ps4-1971-project-helios,1971 Project Helios,1971 Project Helios,PAL Europa,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,Recotechnology S.L.,Meridiem Games,HIGH,EXACT_PAL_PHYSICAL,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,La edición física europea corresponde a Meridiem Games; Recotechnology es la desarrolladora y editora digital.,https://gamesdb.launchbox-app.com/games/details/212848,,REPLACE,Recotechnology S.L.,meridiem-games,Meridiem Games,https://gamesdb.launchbox-app.com/games/details/212848,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-30-nights-pine-view-drive-&amp;-joe%27s-diner,30 Nights Pine View Drive & Joe's Diner,30 Nights: Pineview Drive & Joe's Diner,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,VIS-Games,HIGH,BUNDLE_COMPONENTS,ADD_DEVELOPER_AND_CLASSIFY_COMPILATION,Las fichas comerciales de los dos juegos incluidos atribuyen su desarrollo a VIS-Games.,https://store.steampowered.com/app/288880/Pineview_Drive/,https://apps.microsoft.com/detail/9nhc6cb13vlt?gl=GB&hl=en-GB,ADD,,vis-games,VIS Games,https://store.steampowered.com/app/288880/Pineview_Drive/ | https://apps.microsoft.com/detail/9nhc6cb13vlt?gl=GB&hl=en-GB,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-30-nights-pine-view-drive-&amp;-joe%27s-diner,30 Nights Pine View Drive & Joe's Diner,30 Nights: Pineview Drive & Joe's Diner,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,United Independent Entertainment GmbH,HIGH,EXACT_PAL_PHYSICAL_AND_EU_DIGITAL,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,La edición física PAL se comercializó bajo UIG; la ficha digital europea actual muestra Iridium Media Group GmbH.,https://www.play-asia.com/en/30-nights-pineview-drive-joes-diner-german-cover/13/70i7w3,https://store.playstation.com/en-au/product/EP8935-CUSA03777_00-PDJDBUNDLEPS4EU0,ADD,,united-independent-entertainment,United Independent Entertainment,https://www.play-asia.com/en/30-nights-pineview-drive-joes-diner-german-cover/13/70i7w3 | https://store.playstation.com/en-au/product/EP8935-CUSA03777_00-PDJDBUNDLEPS4EU0,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-3d-mini-golf,3D Mini Golf,3D Mini Golf,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,Z-Software,HIGH,EXACT_PS4_EDITION,ADD_DEVELOPER,La ficha del producto PS4 atribuye el desarrollo a Z-Software.,https://www.idealo.co.uk/compare/6217212/x-3d-mini-golf.html,,ADD,,z-software,Z-Software,https://www.idealo.co.uk/compare/6217212/x-3d-mini-golf.html,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-3d-mini-golf,3D Mini Golf,3D Mini Golf,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Markt+Technik,HIGH,EXACT_PS4_EDITION,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,La edición física se atribuye a Markt+Technik; PlayStation conserva a Joindots como editora digital.,https://www.idealo.co.uk/compare/6217212/x-3d-mini-golf.html,https://store.playstation.com/es-es/product/EP1629-CUSA09170_00-3DMINIGOLF000000,ADD,,markt-technik,Markt Technik,https://www.idealo.co.uk/compare/6217212/x-3d-mini-golf.html | https://store.playstation.com/es-es/product/EP1629-CUSA09170_00-3DMINIGOLF000000,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-41-hours,41 Hours,41 Hours,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Funbox Media,VERY_HIGH,EXACT_EU_PHYSICAL,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,Funbox Media anunció y distribuyó la edición física europea; Eastasiasoft publicó la versión digital.,https://funboxmedia.co.uk/41-hours-ps4-ps5-press-release/,https://www.eastasiasoft.com/press/479/Eastasiasoft-Limited-shares-new-details-on-9-games-scheduled-for-console-release-this-Fall,ADD,,funbox-media,Funbox Media,https://funboxmedia.co.uk/41-hours-ps4-ps5-press-release/ | https://www.eastasiasoft.com/press/479/Eastasiasoft-Limited-shares-new-details-on-9-games-scheduled-for-console-release-this-Fall,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-8doors-arum%27s-afterlife-adventure,8Doors: Arum's Afterlife Adventure,8Doors: Arum's Afterlife Adventure,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Red Art Games,HIGH,EXACT_PS4_PHYSICAL,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,La edición física PS4 aparece publicada por Red Art Games; Rootless Studio y Neowiz corresponden al desarrollo y publicación general/digital.,https://shopgamecollection.com/product/8doors-arums-afterlife-adventure-ps4/,https://www.bestbuy.com/site/searchpage.jsp?st=8Doors%20Arum%27s%20Afterlife%20Adventure,ADD,,red-art-games,Red Art Games,https://shopgamecollection.com/product/8doors-arums-afterlife-adventure-ps4/ | https://www.bestbuy.com/site/searchpage.jsp?st=8Doors%20Arum%27s%20Afterlife%20Adventure,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-99-vidas,99 Vidas,99Vidas,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,QUByte Interactive,HIGH,EXACT_PS4_WORK,ADD_DEVELOPER,Las fuentes coinciden en QUByte Interactive como desarrolladora.,https://www.strictlylimitedgames.com/en-gb/blogs/strictly-limited-games-releases/99vidas-definitive-edition,https://www.chilloutgames.co.uk/PS4/99Vidas_Sony_Playstation_4.aspx,ADD,,qubyte,QUByte,https://www.strictlylimitedgames.com/en-gb/blogs/strictly-limited-games-releases/99vidas-definitive-edition | https://www.chilloutgames.co.uk/PS4/99Vidas_Sony_Playstation_4.aspx,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-99-vidas-collector%27s-edition,99 Vidas [Collector's Edition],99Vidas [Collector's Edition],PAL España,standard,EDITION_VARIANT,DEVELOPER,,QUByte Interactive,HIGH,EDITION_OF_VERIFIED_WORK,ADD_DEVELOPER_LINK_TO_BASE_WORK,Edición especial de la misma obra desarrollada por QUByte Interactive.,https://www.strictlylimitedgames.com/en-gb/blogs/strictly-limited-games-releases/99vidas-definitive-edition,,ADD,,qubyte,QUByte,https://www.strictlylimitedgames.com/en-gb/blogs/strictly-limited-games-releases/99vidas-definitive-edition,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-acalesia,Acalesia,Acalesia,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,BAkau,HIGH,EXACT_PS4_WORK,ADD_DEVELOPER,El aviso legal de PlayStation acredita a BAkau y una segunda ficha específica confirma el desarrollo.,https://store.playstation.com/en-gb/product/EP8009-CUSA27336_00-5021120251256233,https://pocketpsn.com/game/8872-acalesia,ADD,,bakau,BAkau,https://store.playstation.com/en-gb/product/EP8009-CUSA27336_00-5021120251256233 | https://pocketpsn.com/game/8872-acalesia,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
